dates,max_temp,min_temp,winds
2017-01,32.19497096774182,27.78932580645149,4.018817204301075
2017-02,39.18818808593742,35.333723800223105,4.34375
2017-03,42.04291612903216,36.36469032258058,4.955645161290323
2017-04,57.38749499999985,50.44999499999987,4.586111111111111
2017-05,61.43048387096759,54.62483870967729,4.419354838709677
2017-06,75.28720499999986,68.74970499999975,3.8222222222222224
2017-07,77.28776532258061,70.77002338709674,3.025537634408602
2017-08,73.36708709677399,66.9775709677418,2.9556451612903225
2017-09,71.59178062499997,64.22928062499992,3.1347222222222224
2017-10,59.936718548386914,54.80526693548374,3.9368279569892475
2017-11,43.2989487499998,37.628948749999935,3.963888888888889
2017-12,30.452618145161235,24.92923104838696,4.224462365591398
2018-01,27.87344805369123,21.63747489932882,4.554362416107383
2018-02,32.701249999999895,25.948571428571384,3.9955357142857144
2018-03,39.246166204636964,33.59697265624985,4.024193548387097
2018-04,44.49057499999981,37.75807499999988,3.9833333333333334
2018-05,69.73029596774178,61.48513467741913,3.043010752688172
2018-06,75.01169999999982,67.66169999999985,3.138888888888889
2018-07,78.33451612903217,71.54338709677393,2.860215053763441
2018-08,78.2206364919354,71.6409590725805,2.920698924731183
2018-09,71.88075,65.24675000000002,3.3472222222222223
2018-10,55.52532258064497,49.562338709677306,3.592741935483871
2018-11,37.61192414062495,32.85467414062508,3.8402777777777777
2018-12,35.925622746185844,30.621239983529826,3.91123439667129
