Dates,Crashes
2017-12-21,630
2017-12-22,727
2017-12-23,670
2017-12-24,700
2017-12-25,352
2017-12-26,571
2017-12-27,727
2017-12-28,645
2017-12-29,656
2017-12-30,744
2017-12-31,689
2018-01-01,705
2018-01-02,931
2018-01-03,789
2018-01-04,719
2018-01-05,764
2018-01-06,680
2018-01-07,430
2018-01-08,576
2018-01-09,569
2018-01-10,623
2018-01-11,693
2018-01-12,712
2018-01-13,574
2018-01-14,454
2018-01-15,523
2018-01-16,661
2018-01-17,829
2018-01-18,756
2018-01-19,727
2018-01-20,638
2018-01-21,414
2018-01-22,609
2018-01-23,662
2018-01-24,465
2018-01-25,565
2018-01-26,741
2018-01-27,484
2018-01-28,420
2018-01-29,512
2018-01-30,525
2018-01-31,509
2018-02-01,602
2018-02-02,674
2018-02-03,575
2018-02-04,641
2018-02-05,784
2018-02-06,598
2018-02-07,533
2018-02-08,726
2018-02-09,470
2018-02-10,533
2018-02-11,502
2018-02-12,885
2018-02-13,703
2018-02-14,735
2018-02-15,614
2018-02-16,705
2018-02-17,766
2018-02-18,505
2018-02-19,476
2018-02-20,740
2018-02-21,550
2018-02-22,527
2018-02-23,638
2018-02-24,621
2018-02-25,513
2018-02-26,674
2018-02-27,561
2018-02-28,572
2018-03-01,617
2018-03-02,725
2018-03-03,657
2018-03-04,493
2018-03-05,620
2018-03-06,590
2018-03-07,606
2018-03-08,581
2018-03-09,738
2018-03-10,628
2018-03-11,518
2018-03-12,548
2018-03-13,704
2018-03-14,599
2018-03-15,650
2018-03-16,711
2018-03-17,674
2018-03-18,579
2018-03-19,593
2018-03-20,587
2018-03-21,616
2018-03-22,593
2018-03-23,724
2018-03-24,482
2018-03-25,544
2018-03-26,582
2018-03-27,539
2018-03-28,562
2018-03-29,517
2018-03-30,600
2018-03-31,600
2018-04-01,483
2018-04-02,572
2018-04-03,659
2018-04-04,922
2018-04-05,691
2018-04-06,673
2018-04-07,560
2018-04-08,520
2018-04-09,683
2018-04-10,594
2018-04-11,601
2018-04-12,675
2018-04-13,735
2018-04-14,779
2018-04-15,589
2018-04-16,704
2018-04-17,612
2018-04-18,676
2018-04-19,755
2018-04-20,739
2018-04-21,496
2018-04-22,503
2018-04-23,715
2018-04-24,618
2018-04-25,668
2018-04-26,647
2018-04-27,745
2018-04-28,636
2018-04-29,551
2018-04-30,747
2018-05-01,785
2018-05-02,709
2018-05-03,716
2018-05-04,716
2018-05-05,796
2018-05-06,583
2018-05-07,716
2018-05-08,716
2018-05-09,677
2018-05-10,754
2018-05-11,728
2018-05-12,644
2018-05-13,566
2018-05-14,660
2018-05-15,665
2018-05-16,680
2018-05-17,650
2018-05-18,808
2018-05-19,582
2018-05-20,519
2018-05-21,778
2018-05-22,716
2018-05-23,725
2018-05-24,714
2018-05-25,924
2018-05-26,738
2018-05-27,725
2018-05-28,513
2018-05-29,608
2018-05-30,647
2018-05-31,856
2018-06-01,954
2018-06-02,811
2018-06-03,659
2018-06-04,795
2018-06-05,699
2018-06-06,633
2018-06-07,705
2018-06-08,787
2018-06-09,651
2018-06-10,701
2018-06-11,763
2018-06-12,672
2018-06-13,725
2018-06-14,745
2018-06-15,735
2018-06-16,804
2018-06-17,626
2018-06-18,797
2018-06-19,619
2018-06-20,644
2018-06-21,720
2018-06-22,798
2018-06-23,673
2018-06-24,657
2018-06-25,576
2018-06-26,638
2018-06-27,591
